rank_tier,n_ties,pct_family,pct_friend,pct_emotional,pct_advice,pct_companionship,pct_financial,mean_closeness
Rank 1 (Core),950,69.6842105263158,16.94736842105263,85.36842105263159,87.57894736842105,81.05263157894737,64.21052631578948,NA
Ranks 2-3,1713,62.17162872154116,33.97548161120841,77.11617046117922,80.09340338587275,80.03502626970229,45.067133683596026,NA
Ranks 4-5,1426,41.374474053295934,56.942496493688644,69.9859747545582,73.00140252454418,81.97755960729313,24.1234221598878,NA
Ranks 6-10,2743,24.170616113744074,74.40758293838863,60.69996354356544,64.27269413051404,78.38133430550492,12.686839227123587,NA
Ranks 11-20,3011,14.314181335104617,84.4902025905015,48.09033543673198,53.60345400199269,74.4271006310196,7.074061773497177,NA
Ranks >20,3331,9.246472530771541,87.81146802761933,39.147403182227556,44.040828580006,69.46862803962775,4.353047132993095,NA
