model,term,estimate,std.error,statistic,p_value,stars
Model 1: Turnover,(Intercept),-0.23718685050855198,0.019486342741503918,-12.171953129171245,0,***
Model 1: Turnover,turnover,0.37291952985227494,0.02417581821578069,15.42531162849549,0,***
Model 2: Structural Topology,(Intercept),-0.1998570092030248,0.022388760011811008,-8.926667180209707,0,***
Model 2: Structural Topology,turnover,0.3356831993971885,0.024012931168695555,13.979267963537984,0,***
Model 2: Structural Topology,pct_activity_change,0.0015792118601177375,2.1183932988299463e-4,7.4547623474356,8.992806499463768e-14,***
Model 2: Structural Topology,egonet_clustering,-0.014456867800107793,0.015654834824340973,-0.9234762271416292,0.355759083550399,
Model 2: Structural Topology,egonet_density,0.002866143120231032,0.015401938830156532,0.1860897612850669,0.8523743709872253,
Model 3: Integrated Full,(Intercept),-0.17136776594530415,0.03197377895059117,-5.3596344120010775,8.339053114703177e-8,***
Model 3: Integrated Full,turnover,0.35080834644695064,0.02870130420354315,12.222731899536594,0,***
Model 3: Integrated Full,pct_activity_change,0.0013761173610207407,2.1097970161081163e-4,6.52251069896395,6.914002703695132e-11,***
Model 3: Integrated Full,egonet_clustering,-0.006583342550146816,0.015309873086350604,-0.4300063438158833,0.6671910265329792,
Model 3: Integrated Full,extraversion,-0.006867135591847361,0.0037919885621203794,-1.8109589412915954,0.07014720759914539,
Model 3: Integrated Full,neuroticism,-0.008998595319844918,0.004861938895064528,-1.8508244373411622,0.06419481422904916,
Model 3: Integrated Full,cesd_depression,2.363190460790165e-4,5.04314274413941e-4,0.46859479905390483,0.639359295563021,
