Scheme,Total_Models_Fitted,Mean_PowerLaw_Alpha,SD_PowerLaw_Alpha,Mean_PowerLaw_R2,Mean_Exp_Beta,Mean_Exp_R2,Pct_PowerLaw_Preferred_AIC,Pct_Alpha_p_lt_0001
Semesters,1158,1.202272732621628,0.2563431152363955,0.9349234667229566,0.09531383221982766,0.7463758035568868,96.97754749568222,97.66839378238342
Months,3496,1.059212173400455,0.36611859300704896,0.8832460378860066,0.22885203208105015,0.771256640407589,83.78146453089245,68.52064220183486
