term,estimate,std.error,statistic,p.value,stars
(Intercept),0.6802582610293265,0.16172654187660845,4.206225231405363,3.4991185388253696e-5,***
extraversion,-0.01738056899921738,0.017237419538188324,-1.0083045760249625,0.3141788118818025,
neuroticism,0.09775657817208232,0.01924925626456573,5.078460010532139,6.955149283073293e-7,***
agreeableness,0.062491217785705364,0.02513128791985226,2.4865903404950815,0.013480308908476584,*
conscientiousness,0.02066890764727067,0.023217075224708415,0.8902459697108662,0.37409809586994136,
openness,0.014406293413715004,0.027290096119262933,0.5278945647811847,0.5979906062161051,
egonet_deg,-0.004189179279427789,0.0023855515386641633,-1.7560632044753908,0.08017090894053977,
